Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,990658-annotations
Italy,ITA,1974,1142644900,
Italy,ITA,1975,830104640,
Italy,ITA,1976,1114577400,
Italy,ITA,1977,871684000,
Italy,ITA,1978,1403669500,
Italy,ITA,1979,859417200,
Italy,ITA,1980,1826959500,
Italy,ITA,1981,1990518000,
Italy,ITA,1982,2455294700,
Italy,ITA,1983,2463126000,
Italy,ITA,1984,3494880500,
Italy,ITA,1985,3372438300,
Italy,ITA,1986,5363108400,
Italy,ITA,1987,4788708400,
Italy,ITA,1988,5501501000,
Italy,ITA,1989,6177959000,
Italy,ITA,1990,4678571000,
Italy,ITA,1991,4439277600,
Italy,ITA,1992,5201541600,
Italy,ITA,1993,4716169000,
Italy,ITA,1994,4153498000,
Italy,ITA,1995,2398973400,
Italy,ITA,1996,3235250200,
Italy,ITA,1997,1823982300,
Italy,ITA,1998,3269461500,
Italy,ITA,1999,2670951200,
Italy,ITA,2000,2312102000,
Italy,ITA,2001,2729923600,
Italy,ITA,2002,3600655000,
Italy,ITA,2003,3037563000,
Italy,ITA,2004,2722143700,
Italy,ITA,2005,5516894000,
Italy,ITA,2006,3825821000,
Italy,ITA,2007,3732866600,
Italy,ITA,2008,4235211000,
Italy,ITA,2009,2926906600,
Italy,ITA,2010,2784056300,
Italy,ITA,2011,3768259300,
Italy,ITA,2012,2539881500,
Italy,ITA,2013,3046456300,
Italy,ITA,2014,3530917000,
Italy,ITA,2015,4178282200,
Italy,ITA,2016,5266423300,
Italy,ITA,2017,5906062300,
Italy,ITA,2018,4857643000,
Italy,ITA,2019,4277453000,
Italy,ITA,2020,4230553600,
Italy,ITA,2021,5743155000,
Italy,ITA,2022,6705850000,
Italy,ITA,2023,5514297300,
Jacobs Foundation,,2016,11370000,
Jacobs Foundation,,2017,21860000,
Jacobs Foundation,,2018,16950000,
Jacobs Foundation,,2019,18620000,
Jacobs Foundation,,2020,18340000,
Jacobs Foundation,,2021,37640000,
Jacobs Foundation,,2022,22930000,
Japan,JPN,1960,1153335400,
Japan,JPN,1961,1099190900,
Japan,JPN,1962,831660350,
Japan,JPN,1963,1277685400,
Japan,JPN,1964,1017732900,
Japan,JPN,1965,2031543200,
Japan,JPN,1966,2262719500,
Japan,JPN,1967,2895860700,
Japan,JPN,1968,2519947500,
Japan,JPN,1969,2917419300,
Japan,JPN,1970,2868296000,
Japan,JPN,1971,2955906800,
Japan,JPN,1972,2956586200,
Japan,JPN,1973,3825619000,
Japan,JPN,1974,3791295500,
Japan,JPN,1975,3666763500,
Japan,JPN,1976,3264999000,
Japan,JPN,1977,3570692400,
Japan,JPN,1978,4160125000,
Japan,JPN,1979,5112290000,
Japan,JPN,1980,6262109700,
Japan,JPN,1981,5584105000,
Japan,JPN,1982,5919881000,
Japan,JPN,1983,6957720600,
Japan,JPN,1984,7855936500,
Japan,JPN,1985,6866515500,
Japan,JPN,1986,7070516700,
Japan,JPN,1987,7914482700,
Japan,JPN,1988,8693982000,
Japan,JPN,1989,8992592000,
Japan,JPN,1990,9333660000,
Japan,JPN,1991,10204413000,
Japan,JPN,1992,9634085000,
Japan,JPN,1993,8500178000,
Japan,JPN,1994,9175201000,
Japan,JPN,1995,9294806000,
Japan,JPN,1996,7032559600,
Japan,JPN,1997,7714855400,
Japan,JPN,1998,9492063000,
Japan,JPN,1999,9559794000,
Japan,JPN,2000,10184735000,
Japan,JPN,2001,8459618300,
Japan,JPN,2002,8333983000,
Japan,JPN,2003,7500332500,
Japan,JPN,2004,7109245400,
Japan,JPN,2005,10780401000,
Japan,JPN,2006,9753533000,
Japan,JPN,2007,6871290000,
Japan,JPN,2008,7599485400,
Japan,JPN,2009,6800818700,
Japan,JPN,2010,7607340000,
Japan,JPN,2011,7041196500,
Japan,JPN,2012,6795681000,
Japan,JPN,2013,9018741000,
Japan,JPN,2014,7953975000,
Japan,JPN,2015,8641256000,
Japan,JPN,2016,8758405000,
Japan,JPN,2017,9944268000,
Japan,JPN,2018,8595578000,
Japan,JPN,2019,9821339000,
Japan,JPN,2020,11102546000,
Japan,JPN,2021,13204946000,
Japan,JPN,2022,16747350000,
Japan,JPN,2023,19275182000,
John D. and Catherine T. MacArthur Foundation,,2017,93780000,
John D. and Catherine T. MacArthur Foundation,,2018,97300000,
John D. and Catherine T. MacArthur Foundation,,2019,123480000,
John D. and Catherine T. MacArthur Foundation,,2020,119630000,
John D. and Catherine T. MacArthur Foundation,,2021,130179990,
John D. and Catherine T. MacArthur Foundation,,2022,101930000,
Joint Sustainable Development Goals Fund,,2021,53870000,
Joint Sustainable Development Goals Fund,,2022,59280000,
Kazakhstan,KAZ,2013,8462239,
Kazakhstan,KAZ,2014,33213646,
Kazakhstan,KAZ,2015,47280428,
Kazakhstan,KAZ,2016,34155496,
Kazakhstan,KAZ,2017,38231428,
Kazakhstan,KAZ,2018,41996844,
Kazakhstan,KAZ,2019,36238492,
Kazakhstan,KAZ,2020,38145068,
Kazakhstan,KAZ,2021,42251160,
Kazakhstan,KAZ,2022,36863452,
Kuwait,KWT,1970,965429400,
Kuwait,KWT,1971,627647550,
Kuwait,KWT,1972,849415600,
Kuwait,KWT,1973,1571852700,
Kuwait,KWT,1974,2508713000,
Kuwait,KWT,1975,3313541600,
Kuwait,KWT,1976,2205870000,
Kuwait,KWT,1977,2531744800,
Kuwait,KWT,1978,2380009500,
Kuwait,KWT,1979,2331923000,
Kuwait,KWT,1980,2481148700,
Kuwait,KWT,1981,2636290000,
Kuwait,KWT,1982,2549134300,
Kuwait,KWT,1983,2150993200,
Kuwait,KWT,1984,2331688700,
Kuwait,KWT,1985,1668633100,
Kuwait,KWT,1986,1338201500,
Kuwait,KWT,1987,543137500,
Kuwait,KWT,1988,103505420,
Kuwait,KWT,1989,279207780,
Kuwait,KWT,1990,1973074200,
Kuwait,KWT,1991,486242720,
Kuwait,KWT,1992,266916530,
Kuwait,KWT,1993,545580740,
Kuwait,KWT,1994,839733060,
Kuwait,KWT,1995,468597500,
Kuwait,KWT,1996,538924700,
Kuwait,KWT,1997,516534500,
Kuwait,KWT,1998,392199500,
Kuwait,KWT,1999,204297550,
Kuwait,KWT,2000,237607740,
Kuwait,KWT,2001,111946680,
Kuwait,KWT,2002,30105800,
Kuwait,KWT,2003,180914620,
Kuwait,KWT,2004,195530350,
Kuwait,KWT,2005,257998450,
Kuwait,KWT,2006,180323800,
Kuwait,KWT,2007,117020984,
Kuwait,KWT,2008,287401020,
Kuwait,KWT,2009,233046620,
Kuwait,KWT,2010,242180370,
Kuwait,KWT,2011,172378110,
Kuwait,KWT,2012,181386530,
Kuwait,KWT,2013,230284530,
Kuwait,KWT,2014,275532930,
Kuwait,KWT,2015,335079100,
Kuwait,KWT,2016,1196594400,
Kuwait,KWT,2017,618018600,
Kuwait,KWT,2018,284527330,
Kuwait,KWT,2019,425635420,
Kuwait,KWT,2020,520267520,
Kuwait,KWT,2021,452686820,
Kuwait,KWT,2022,189519790,
LEGO Foundation,,2018,21680000,
LEGO Foundation,,2019,47980000,
LEGO Foundation,,2021,188500000,
LEGO Foundation,,2022,258440000,
La Caixa Banking Foundation,,2017,14250000,
La Caixa Banking Foundation,,2018,29600000,
La Caixa Banking Foundation,,2019,41750000,
La Caixa Banking Foundation,,2020,19540000,
La Caixa Banking Foundation,,2021,19160000,
La Caixa Banking Foundation,,2022,22700000,
Latvia,LVA,2002,3633853,
Latvia,LVA,2003,1866283,
Latvia,LVA,2004,15632277,
Latvia,LVA,2005,18638886,
Latvia,LVA,2006,18383334,
Latvia,LVA,2007,18643652,
Latvia,LVA,2008,21715400,
Latvia,LVA,2009,24073388,
Latvia,LVA,2010,19091644,
Latvia,LVA,2011,20887754,
Latvia,LVA,2012,24223336,
Latvia,LVA,2013,25785422,
Latvia,LVA,2014,27045580,
Latvia,LVA,2015,29509838,
Latvia,LVA,2016,38227268,
Latvia,LVA,2017,38526500,
Latvia,LVA,2018,38193340,
Latvia,LVA,2019,38555776,
Latvia,LVA,2020,43865630,
Latvia,LVA,2021,47753628,
Latvia,LVA,2022,83696230,
Latvia,LVA,2023,131424760,
Laudes Foundation,,2013,7090000,
Laudes Foundation,,2014,9330000,
Laudes Foundation,,2015,19230000,
Laudes Foundation,,2016,31370000,
Laudes Foundation,,2017,31770000,
Laudes Foundation,,2018,46820000,
Laudes Foundation,,2019,48870000,
Laudes Foundation,,2020,42010000,
Laudes Foundation,,2021,49480000,
Laudes Foundation,,2022,26370000,
Liechtenstein,LIE,2007,19104814,
Liechtenstein,LIE,2008,24043120,
Liechtenstein,LIE,2009,27655316,
Liechtenstein,LIE,2010,27763846,
Liechtenstein,LIE,2011,30960354,
Liechtenstein,LIE,2012,28861992,
Liechtenstein,LIE,2013,28167594,
Liechtenstein,LIE,2014,27201944,
Liechtenstein,LIE,2015,26655770,
Liechtenstein,LIE,2016,27220256,
Liechtenstein,LIE,2017,26196612,
Liechtenstein,LIE,2018,27186064,
Liechtenstein,LIE,2019,26980252,
Liechtenstein,LIE,2020,28811812,
Liechtenstein,LIE,2021,25761956,
Liechtenstein,LIE,2022,31203568,
Liechtenstein,LIE,2023,38439390,
Lithuania,LTU,2001,4624464,
Lithuania,LTU,2002,3967180,
Lithuania,LTU,2003,3880338,
Lithuania,LTU,2004,16308443,
Lithuania,LTU,2005,26066964,
Lithuania,LTU,2006,39046468,
Lithuania,LTU,2007,62702530,
Lithuania,LTU,2008,53659970,
Lithuania,LTU,2009,44243004,
Lithuania,LTU,2010,45966224,
Lithuania,LTU,2011,58431336,
Lithuania,LTU,2012,62094704,
Lithuania,LTU,2013,57414296,
Lithuania,LTU,2014,51448944,
Lithuania,LTU,2015,64986052,
Lithuania,LTU,2016,76235220,
Lithuania,LTU,2017,74351970,
Lithuania,LTU,2018,75186440,
Lithuania,LTU,2019,80397830,
Lithuania,LTU,2020,82491864,
Lithuania,LTU,2021,89494640,
Lithuania,LTU,2022,243260000,
Lithuania,LTU,2023,171147170,
Luxembourg,LUX,1980,14756642,
Luxembourg,LUX,1981,17478898,
Luxembourg,LUX,1982,15527536,
Luxembourg,LUX,1983,16264303,
Luxembourg,LUX,1984,32556976,
Luxembourg,LUX,1985,36881944,
Luxembourg,LUX,1986,37007324,
Luxembourg,LUX,1987,39186876,
Luxembourg,LUX,1988,48913156,
Luxembourg,LUX,1989,49293336,
Luxembourg,LUX,1990,57240504,
Luxembourg,LUX,1991,94152370,
Luxembourg,LUX,1992,77203790,
Luxembourg,LUX,1993,103272740,
Luxembourg,LUX,1994,115793170,
Luxembourg,LUX,1995,109830200,
Luxembourg,LUX,1996,139676540,
Luxembourg,LUX,1997,180384640,
Luxembourg,LUX,1998,221064060,
Luxembourg,LUX,1999,233637760,
Luxembourg,LUX,2000,267567470,
Luxembourg,LUX,2001,308654750,
Luxembourg,LUX,2002,305419400,
Luxembourg,LUX,2003,329250980,
Luxembourg,LUX,2004,353089920,
Luxembourg,LUX,2005,366409180,
Luxembourg,LUX,2006,386506800,
Luxembourg,LUX,2007,449194900,
Luxembourg,LUX,2008,441778980,
Luxembourg,LUX,2009,453315000,
Luxembourg,LUX,2010,442486750,
Luxembourg,LUX,2011,412468060,
Luxembourg,LUX,2012,424555650,
Luxembourg,LUX,2013,431733120,
Luxembourg,LUX,2014,412887070,
Luxembourg,LUX,2015,413250140,
Luxembourg,LUX,2016,452765060,
Luxembourg,LUX,2017,470565380,
Luxembourg,LUX,2018,493208500,
Luxembourg,LUX,2019,514755970,
Luxembourg,LUX,2020,463406270,
Luxembourg,LUX,2021,509340260,
Luxembourg,LUX,2022,530120000,
Luxembourg,LUX,2023,520493760,
MAVA Foundation,,2013,32259998,
MAVA Foundation,,2014,25650000,
MAVA Foundation,,2015,16150000,
MAVA Foundation,,2016,14210000,
MAVA Foundation,,2017,75460000,
MAVA Foundation,,2018,61210000,
MAVA Foundation,,2019,42640000,
MAVA Foundation,,2020,72320000,
MAVA Foundation,,2021,73670000,
MAVA Foundation,,2022,57090000,
Malta,MLT,2009,14428402,
Malta,MLT,2010,14387572,
Malta,MLT,2011,19642996,
Malta,MLT,2012,18750202,
Malta,MLT,2013,18200292,
Malta,MLT,2014,20314370,
Malta,MLT,2015,18225414,
Malta,MLT,2016,22766636,
Malta,MLT,2017,27119026,
Malta,MLT,2018,34271424,
Malta,MLT,2019,43441700,
Malta,MLT,2020,54889428,
Malta,MLT,2021,50638970,
Malta,MLT,2022,45200456,
Malta,MLT,2023,47936636,
Margaret A. Cargill Foundation,,2016,61680000,
Margaret A. Cargill Foundation,,2017,55250000,
Margaret A. Cargill Foundation,,2018,55420000,
Margaret A. Cargill Foundation,,2019,50100000,
Margaret A. Cargill Foundation,,2020,47130000,
Margaret A. Cargill Foundation,,2021,53240000,
Margaret A. Cargill Foundation,,2022,53590000,
Mastercard Foundation,,2017,346420000,
Mastercard Foundation,,2018,310450020,
Mastercard Foundation,,2019,354690020,
Mastercard Foundation,,2020,1040210000,
Mastercard Foundation,,2021,1363450000,
Mastercard Foundation,,2022,1159300100,
McKnight Foundation,,2018,10710000,
McKnight Foundation,,2019,9930000,
McKnight Foundation,,2020,4390000,
MetLife Foundation,,2013,10880000,
MetLife Foundation,,2014,20650000,
MetLife Foundation,,2015,19290000,
MetLife Foundation,,2016,21300000,
MetLife Foundation,,2017,19600000,
MetLife Foundation,,2018,13280000,
MetLife Foundation,,2019,15930000,
MetLife Foundation,,2020,1550000,
Michael & Susan Dell Foundation,,2016,28470000,
Michael & Susan Dell Foundation,,2017,36640000,
Michael & Susan Dell Foundation,,2018,36070000,
Michael & Susan Dell Foundation,,2019,39880000,
Michael & Susan Dell Foundation,,2020,67030000,
Michael & Susan Dell Foundation,,2021,46380000,
Michael & Susan Dell Foundation,,2022,47070000,
Monaco,MCO,2021,22614998,
Monaco,MCO,2022,23800928,
Monaco,MCO,2023,23834556,
Montreal Protocol,,1997,57640000,
Montreal Protocol,,1998,214080000,
Montreal Protocol,,1999,60700000,
Montreal Protocol,,2000,80570000,
Montreal Protocol,,2001,109030000,
Montreal Protocol,,2002,88590000,
Montreal Protocol,,2003,87190000,
Montreal Protocol,,2004,72030000,
Montreal Protocol,,2005,97860000,
Montreal Protocol,,2006,92610000,
Montreal Protocol,,2007,100350000,
Montreal Protocol,,2008,76630000,
Montreal Protocol,,2009,30930000,
Montreal Protocol,,2010,21370000,
Montreal Protocol,,2011,7910000,
Montreal Protocol,,2012,4900000,
Montreal Protocol,,2013,37110000,
Montreal Protocol,,2014,44580000,
Montreal Protocol,,2015,49850000,
Multilateral organizations (OECD),,1960,726120000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1961,1082359900,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1962,1583100000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1963,2505379800,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1964,3192160000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1965,4398680000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1966,4640380000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1967,5091270000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1968,3956300000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1969,5079980000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1970,5391859700,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1971,6438420000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1972,6202840000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1973,7889960000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1974,10599210000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1975,12215230000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1976,12525710000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1977,14904520000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1978,15635000000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1979,14646740000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1980,17238510000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1981,17815589000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1982,17541420000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1983,17185600000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1984,17666480000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1985,18880279000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1986,16588110000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1987,16248010000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1988,17003891000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1989,18669320000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1990,17908400000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1991,21370288000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1992,22462250000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1993,21714520000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1994,24080600000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1995,21239759000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1996,19499151000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1997,19870690000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1998,19523680000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,1999,18776750000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2000,19007280000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2001,24639660000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2002,25737599000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2003,22862651000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2004,25777110000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2005,25668160000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2006,27666741000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2007,20502198000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2008,23127490000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2009,26641222000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2010,34088878000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2011,35411150000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2012,40384373000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2013,41720820000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2014,42317490000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2015,46005790000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2016,45859820000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2017,47501950000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2018,44588000000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2019,47229230000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2020,67163603000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2021,54885470000,e.g. World Bank and UN agencies
Multilateral organizations (OECD),,2022,66083287000,e.g. World Bank and UN agencies
Netherlands,NLD,1960,507410720,
Netherlands,NLD,1961,755551940,
Netherlands,NLD,1962,842511400,
Netherlands,NLD,1963,467596770,
Netherlands,NLD,1964,560067840,
Netherlands,NLD,1965,747685500,
Netherlands,NLD,1966,958467700,
Netherlands,NLD,1967,1109019800,
Netherlands,NLD,1968,1164166700,
Netherlands,NLD,1969,1261081300,
Netherlands,NLD,1970,1626754400,
Netherlands,NLD,1971,1601247000,
Netherlands,NLD,1972,1906998500,
Netherlands,NLD,1973,1599717100,
Netherlands,NLD,1974,1908443400,
Netherlands,NLD,1975,2273780700,
Netherlands,NLD,1976,2611974100,
Netherlands,NLD,1977,2831980800,
Netherlands,NLD,1978,2804291000,
Netherlands,NLD,1979,3425319700,
Netherlands,NLD,1980,3562151400,
Netherlands,NLD,1981,3929618200,
Netherlands,NLD,1982,3888861200,
Netherlands,NLD,1983,3305663700,
Netherlands,NLD,1984,3888007000,
Netherlands,NLD,1985,3542997200,
Netherlands,NLD,1986,3998517200,
Netherlands,NLD,1987,4006966500,
Netherlands,NLD,1988,4110997500,
Netherlands,NLD,1989,4083382800,
Netherlands,NLD,1990,4184894000,
Netherlands,NLD,1991,4132233500,
Netherlands,NLD,1992,4147893000,
Netherlands,NLD,1993,3955884300,
Netherlands,NLD,1994,3784199400,
Netherlands,NLD,1995,4192222700,
Netherlands,NLD,1996,4377843000,
Netherlands,NLD,1997,4484065000,
Netherlands,NLD,1998,4608399000,
Netherlands,NLD,1999,4883973600,
Netherlands,NLD,2000,5463049000,
Netherlands,NLD,2001,5461817000,
Netherlands,NLD,2002,5263117000,
Netherlands,NLD,2003,5114591700,
Netherlands,NLD,2004,4858305000,
Netherlands,NLD,2005,5793318000,
Netherlands,NLD,2006,5966624300,
Netherlands,NLD,2007,6119458000,
Netherlands,NLD,2008,6378579000,
Netherlands,NLD,2009,6058235400,
Netherlands,NLD,2010,6244310000,
Netherlands,NLD,2011,5922903000,
Netherlands,NLD,2012,5498728000,
Netherlands,NLD,2013,5172091000,
Netherlands,NLD,2014,5293553700,
Netherlands,NLD,2015,6453267500,
Netherlands,NLD,2016,5589263000,
Netherlands,NLD,2017,5404261000,
Netherlands,NLD,2018,5710201000,
Netherlands,NLD,2019,5469820000,
Netherlands,NLD,2020,5345472500,
Netherlands,NLD,2021,4943895000,
Netherlands,NLD,2022,6450170000,
Netherlands,NLD,2023,6597555700,
New Zealand,NZL,1961,102957600,
New Zealand,NZL,1962,81108440,
New Zealand,NZL,1963,84266550,
New Zealand,NZL,1964,91404824,
New Zealand,NZL,1965,91502800,
New Zealand,NZL,1966,93890070,
New Zealand,NZL,1967,92566030,
New Zealand,NZL,1968,108692350,
New Zealand,NZL,1969,126460904,
New Zealand,NZL,1970,137406820,
New Zealand,NZL,1971,143900030,
New Zealand,NZL,1972,153599790,
New Zealand,NZL,1973,160960700,
New Zealand,NZL,1974,224269490,
New Zealand,NZL,1975,382384740,
New Zealand,NZL,1976,310686660,
New Zealand,NZL,1977,269713600,
New Zealand,NZL,1978,233393500,
New Zealand,NZL,1979,261361090,
New Zealand,NZL,1980,252383120,
New Zealand,NZL,1981,229591300,
New Zealand,NZL,1982,223798780,
New Zealand,NZL,1983,219224850,
New Zealand,NZL,1984,213726930,
New Zealand,NZL,1985,213518940,
New Zealand,NZL,1986,227486420,
New Zealand,NZL,1987,210117570,
New Zealand,NZL,1988,212492820,
New Zealand,NZL,1989,186557260,
New Zealand,NZL,1990,198311170,
New Zealand,NZL,1991,213889140,
New Zealand,NZL,1992,219537780,
New Zealand,NZL,1993,214988580,
New Zealand,NZL,1994,219031330,
New Zealand,NZL,1995,216790400,
New Zealand,NZL,1996,200186600,
New Zealand,NZL,1997,262648100,
New Zealand,NZL,1998,270845600,
New Zealand,NZL,1999,281209660,
New Zealand,NZL,2000,271016130,
New Zealand,NZL,2001,277062880,
New Zealand,NZL,2002,272762980,
New Zealand,NZL,2003,291154000,
New Zealand,NZL,2004,315937020,
New Zealand,NZL,2005,373881400,
New Zealand,NZL,2006,374360320,
New Zealand,NZL,2007,391372770,
New Zealand,NZL,2008,435709630,
New Zealand,NZL,2009,424518900,
New Zealand,NZL,2010,396228930,
New Zealand,NZL,2011,435640960,
New Zealand,NZL,2012,451159580,
New Zealand,NZL,2013,439317200,
New Zealand,NZL,2014,469818600,
New Zealand,NZL,2015,486100500,
New Zealand,NZL,2016,483742620,
New Zealand,NZL,2017,462343400,
New Zealand,NZL,2018,578900740,
New Zealand,NZL,2019,592105600,
New Zealand,NZL,2020,562143200,
New Zealand,NZL,2021,647666600,
New Zealand,NZL,2022,515229980,
New Zealand,NZL,2023,728058240,
Non-DAC countries (OECD),,1966,2161867800,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1970,2520647200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1971,2932939300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1972,3775464700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1973,11585444000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1974,18790044000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1975,23716182000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1976,21362747000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1977,17558477000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1978,23394077000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1979,20174088000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1980,24714402000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1981,21549881000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1982,14723744000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1983,11443029000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1984,10941535000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1985,8997989000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1986,9445837000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1987,6492366300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1988,3489903400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1989,3262211600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1990,11473237000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1991,5643893000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1992,2440017200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1993,2267422700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1994,1966006300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1995,1366326700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1996,1625260200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1997,2005853800,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1998,2340260900,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,1999,1619649200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2000,1588818400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2001,1424510000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2002,4862217000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2003,4812600000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2004,3873307400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2005,3321099500,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2006,4808233500,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2007,5608872000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
